country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Netherlands Antilles,1850,ANT,21040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,
New Caledonia,1850,NCL,46844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198,,,,,,,,,,,2.198,46.93,,,,,,,,,,,,,,,,,,,,0.091,,,,,0.091,,,,,,
New Zealand,1850,NZL,90807.0,164160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.652,,,,,,,,,,,11.652,128.311,,,,,,,,,,,,,,,,,,,,0.481,,,,,0.481,,,,,,
Nicaragua,1850,NIC,298221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.768,,,,,,,,,,,7.768,26.047,,,,,,,,,,,,,,,,,,,,0.32,,,,,0.32,,,,,,
Niger,1850,NER,998548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.466,,,,,,,,,,,1.466,1.468,,,,,,,,,,,,,,,,,,,,0.06,,,,,0.06,,,,,,
Nigeria,1850,NGA,13540231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.128,,,,,,,,,,,12.128,0.896,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,
Niue,1970,NIU,5206.0,,0.0,0.0,0.004,,,,,,,,,0.704,,,0.0,0.0,,,,0.0,0.004,,0.0,0.0,0.0,,0.004,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.004,0.704,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,
Non-OECD (GCP),1850,,,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,1750,,11396206.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
North America (GCP),1850,,,,,,19.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America (excl. USA),1750,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
North Korea,1850,PRK,4443855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.224,,,,,,,,,,,3.224,0.726,,,,,,,,,,,,,,,,,,,,0.133,,,,,0.133,,,,,,
North Macedonia,1850,MKD,509765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.942,,,,,,,,,,,1.942,3.809,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.08,,,,,,
Norway,1829,NOR,1106700.0,,,,0.011,,,,,,,,,0.01,,,0.011,0.01,,,,,0.011,,0.011,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.017,,0.017,,0.001,,0.001,,,,,,,,,,,,,,
OECD (GCP),1850,,,,,,196.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,1750,,1946330.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,
Oceania (GCP),1850,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
